1101 2102 3103 4104 5201 1131 7234 8121 9001 2402 3501
2102 2402 2123 1113 1024 2159 5231 1604 1103 3401 5533
1101 1202 1303 1404 1505 2611 2712 2813 2914 3202 4222
3103 4303 1133 3125 2205 6172 1232 2327 2872 3174 7616
4104 5103 3143 6137 3207 5194 2233 4223 3661 4835 5697
5105 6124 6153 9119 4206 2126 4239 7426 4774 8358 6129
6106 2102 5163 1192 5202 8148 6238 1329 6239 3210 9710
7107 1103 2653 3174 8200 1160 1237 9020 1618 8673 3292
8108 8114 2113 5146 7203 3183 1236 8921 3721 4316 5024
4103 6153 4193 9120 4209 4009 4233 2326 7653 9167 8818
