CNSA中国航天文化,496261881,航天局新闻宣传中心直属文化平台,[热词系列_可以]下一步抽个火箭？
他是奇,5264255,睇清世间所有定理又何用再怕,"我的职业：
和朋友吹牛时：电控工程师
实际现场工作：电控技术员
看了这个视频后：OK兄弟们！
                              我就是个电工！[微笑]"
三分钟热度的老包,21119493,类别：新壁总域。地址：拉尼亚凯亚超星系团,"看完稚晖君的这个视频，整个人心情是复杂的，大概从16年大二开始，我开始接触各种机器人方面的知识，从硬到软，包括机械制图，结构设计，pcb 设计，有限元分析，动力学建模，嵌入式Linux, 编译系统，现代控制理论，机器人中李群李代数，C++的简单用法，软件工程，ROS, CV传统算法，deep learning, reinforcement learning，一路走来，误打误撞，看什么都像是走马观花，但一直没有忘掉最初的目的：想要用最新的研究造出便宜又好用的机器人。但是战线越拉越长，截止到看这个视频前，我在实验室做着不太相关的DL工作，已经几乎放弃了想要单打独斗造机器人的想法了。直到，直到我看完这个视频的瞬间，又像强心剂，又像霹雳，同时扎在我的心上，大声告诉我什么叫人没有梦想和咸鱼有什么区别。真的，一百多亿岁的宇宙，在地球这粒尘埃中，人活几十年，总要有点梦想的，只是我几乎迷失在了压力和焦虑中。机器人的梦想还是要有的，希望看到这里的朋友也能坚定自己的梦想。"
张杰伊jay,381351694,,我现在理解了“十个普通工程师也比不上一个天才工程师。”
北京交通大学,39997124,投稿及联系方式：bjtutv@163.com,过于硬核[支持]
Zcreation创世科技,362717074,伟大斗争，伟大工程，伟大事业，伟大梦想,拆了够我们一个院当毕设[笑哭]
inhye-C,2980777,,稚辉君发了视频以后，其他科技区up都成生活区的了[tv_doge]
Eis-ist-睡着的水,30633999,在德学生,我在TUB读研究生，我教授是在西门子和MTU供职的，今天我和他休息的时候一起看了这个视频，他很想邀请这个博主去西门子看看，我说他已经是华为的了，我教授说，又是华为[吃瓜][吃瓜]
不入川丶,33547759,a new egoist has started his life,你懂的越多，才知道稚辉君有多强大。
春秋梦云,1564578761,只愿得一人心，白首不相离,稚辉君，是你让我见识了一个人原来可以这么优秀，你是我的偶像，我会以你为目标去努力，去努力变成更好的自己。这是我的第一条评论，以此为证，我希望很多年后我可以重新找到这条评论，然后自信的回复:我做到了。
稚晖君,20259914,保持热爱，奔赴星海。,字幕还在做，晚点添加~
我的田园诗,68033946,吉他白菜，秋山澪爱好者，永远喜欢冬马和纱。,"害，是我自己限制了自己，看完了稚晖君，才发现这才是我一开始学机械的初衷，以为学了机械就能够像钢铁侠，三傻大闹宝莱坞里的兰彻那样造出许多炫酷的东西，后来发现机械好像就搞结构去了，还开始产生了厌恶，到现在才发现，不是机械的错，而是我的拉胯，本来就应该是engineering，而不是单纯机械，是我自己没有打破限制。
原来梦想是可以实现的，它一直高高地呆在那里，只是我尝试跳了两下就放弃了。"
老师好我叫何同学,163637592,喜欢做贼有意思的视频 工作联系：xhaxx1123@163.com,我好菜[大哭]
照书养娃云吞妈,41087212,照着教科书来带娃的新晋宝妈一枚…,"[无语]全部能看懂的词汇：
【机械臂】
【wifi】
【蓝牙】
【PS5】"
夜黔Kamome,8569361,,"初中我以为我是一个天才，高中我以为我只是一个有点天赋的人，大学我以为我只是一个普通人。
今天，我认为我是一只虫子"
萧逸快来嘴一个,499957899,海日生残夜，江春入旧年,当时我们物理老师在课堂上说华为有个人做了个机械臂，能剥葡萄皮，我当时想都没想就回了句我也会剥葡萄皮，直接社死，结果今天在首页刷到了[捂眼]
请叫我良小伞,17753154,,作为985一个普通工科博士，看完之后我感觉到了一种无名的自卑感，不过想了想这种自卑感是AOE伤害，这种天才百年一遇，大家还是该干嘛干嘛，不要让自己的人生后悔就行。[打call]
立创EDA,430536057,国产免费PCB设计软件，立志成为全球工程师的首选EDA工具。软件下载：https://lceda.cn,我该发什么评论才能让你们注意到我[doge]
Regin丶,5685122,别看了 是小号,哥，如果项目太大，隔太久才能更新的话，可以中间水一期，带我们认识一下华为天才少年的其他人吗，想看看是不是跟你一样离谱[doge]
CNSA中国航天文化,496261881,航天局新闻宣传中心直属文化平台,[热词系列_可以]下一步抽个火箭？
他是奇,5264255,睇清世间所有定理又何用再怕,"我的职业：
和朋友吹牛时：电控工程师
实际现场工作：电控技术员
看了这个视频后：OK兄弟们！
                              我就是个电工！[微笑]"
三分钟热度的老包,21119493,类别：新壁总域。地址：拉尼亚凯亚超星系团,"看完稚晖君的这个视频，整个人心情是复杂的，大概从16年大二开始，我开始接触各种机器人方面的知识，从硬到软，包括机械制图，结构设计，pcb 设计，有限元分析，动力学建模，嵌入式Linux, 编译系统，现代控制理论，机器人中李群李代数，C++的简单用法，软件工程，ROS, CV传统算法，deep learning, reinforcement learning，一路走来，误打误撞，看什么都像是走马观花，但一直没有忘掉最初的目的：想要用最新的研究造出便宜又好用的机器人。但是战线越拉越长，截止到看这个视频前，我在实验室做着不太相关的DL工作，已经几乎放弃了想要单打独斗造机器人的想法了。直到，直到我看完这个视频的瞬间，又像强心剂，又像霹雳，同时扎在我的心上，大声告诉我什么叫人没有梦想和咸鱼有什么区别。真的，一百多亿岁的宇宙，在地球这粒尘埃中，人活几十年，总要有点梦想的，只是我几乎迷失在了压力和焦虑中。机器人的梦想还是要有的，希望看到这里的朋友也能坚定自己的梦想。"
张杰伊jay,381351694,,我现在理解了“十个普通工程师也比不上一个天才工程师。”
北京交通大学,39997124,投稿及联系方式：bjtutv@163.com,过于硬核[支持]
Zcreation创世科技,362717074,伟大斗争，伟大工程，伟大事业，伟大梦想,拆了够我们一个院当毕设[笑哭]
inhye-C,2980777,,稚辉君发了视频以后，其他科技区up都成生活区的了[tv_doge]
